drug_name,drug_name_en,drug_synonyms,targets,mechanism_of_action,research_institution,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,disease_area,npuid,originator_country,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indications_json
CAM2029,CAM2029 (octreotide),CAM2029;CAM2029 (奥曲肽);CAM2029 (octreotide);Oczyesa,somatostatin,somatostatin类似物,Novartis(Top20 MNC);Camurus(原研),微创新,化药,多肽,环肽,类似物,批准上市,2025/6/30,Active,内分泌及代谢领域;罕见疾病领域,DR031328,欧洲,approved,批准上市,2025/6/30,approved,2,TRUE,TRUE,TRUE,['Novartis'],['Camurus'],1,"['Novartis(Top20 MNC)', 'Camurus(原研)']",['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,5,Endocrinology & Metabolism,,,"[{""indication"": ""肢端肥大症"", ""indication_en"": ""acromegaly"", ""therapeutic_area"": ""内分泌及代谢领域"", ""therapeutic_area_en"": ""Endocrinology & Metabolism"", ""highest_phase"": ""approved"", ""highest_phase_sort_val"": 5}, {""indication"": ""胃肠胰神经内分泌肿瘤"", ""indication_en"": ""Gastroenteropancreatic neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""多囊肝病"", ""indication_en"": ""polycystic liver disease"", ""therapeutic_area"": ""消化领域"", ""therapeutic_area_en"": ""Digestive System"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}, {""indication"": ""多囊肾病"", ""indication_en"": ""polycystic kidney disease"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CAM4071,CAM4071 (pasireotide FluidCrystal® long-acting injection),CAM4071;CAM4071 (帕瑞肽FluidCrystal®长效注射剂）;CAM4071 (pasireotide FluidCrystal® long-acting injection),somatostatin,somatostatin类似物,Camurus(原研),微创新,化药,多肽,环肽,类似物,I期临床,,Active,内分泌及代谢领域;罕见疾病领域,DR018258,欧洲,phase 1,I期临床,,phase 1,1,TRUE,TRUE,FALSE,[],['Camurus'],1,['Camurus(原研)'],['内分泌及代谢领域'],1,内分泌及代谢领域,,,1,1,Endocrinology & Metabolism,,,"[{""indication"": ""肢端肥大症"", ""indication_en"": ""acromegaly"", ""therapeutic_area"": ""内分泌及代谢领域"", ""therapeutic_area_en"": ""Endocrinology & Metabolism"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""库欣综合征"", ""indication_en"": ""Cushing's syndrome"", ""therapeutic_area"": ""内分泌及代谢领域"", ""therapeutic_area_en"": ""Endocrinology & Metabolism"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
CAR Peptide,CAR Peptide (Vascular BioSciences),CAR Peptide;CAR Peptide (Vascular BioSciences);CARSKNKDC,not available,,Vascular Biosciences(原研),创新药,化药,多肽,环肽,其他,临床前,,Active,感染领域,DR036908,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Vascular Biosciences'],1,['Vascular Biosciences(原研)'],['感染领域'],1,感染领域,,,-1,-1,Infectious Diseases,,,"[{""indication"": ""菌血症"", ""indication_en"": ""bacteremia"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""肺动脉高压"", ""indication_en"": ""pulmonary hypertension"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""新型冠状病毒感染"", ""indication_en"": ""novel coronavirus infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CBT-005,CBT-005 (Cbiomex),CBT-005;CBT-005 (Cbiomex),NPRB,NPRB激动剂,C-BIOMEX(原研),创新药,化药,多肽,环肽;中国无申报;Potential First-in-Class,激动剂,临床前,,Active,骨骼肌肉领域;罕见疾病领域,DR009364,韩国,pre-clinical,临床前,,pre-clinical,1,TRUE,TRUE,FALSE,[],['C-BIOMEX'],1,['C-BIOMEX(原研)'],['骨骼肌肉领域'],1,骨骼肌肉领域,,,-1,-1,Musculoskeletal,,,"[{""indication"": ""软骨发育不全"", ""indication_en"": ""Achondroplasia"", ""therapeutic_area"": ""骨骼肌肉领域"", ""therapeutic_area_en"": ""Musculoskeletal"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CID-078,CID-078,CID-078;CID-016;CIR7-7321;CIR-7321,cyclin A;cyclin B,cyclin A抑制剂;cyclin B抑制剂,Circle Pharma(原研);Vall d'Hebron Institute of Oncology(原研),创新药,化药,多肽,环肽;细胞周期;差异化疾病;中国无申报;Potential First-in-Class;2025 AACR新机会,抑制剂,I期临床,2024/10/15,Active,肿瘤领域,DR013158,美国;欧洲,phase 1,I期临床,2024/8/29,phase 1,2,TRUE,FALSE,FALSE,[],"['Circle Pharma', ""Vall d'Hebron Institute of Oncology""]",2,"['Circle Pharma(原研)', ""Vall d'Hebron Institute of Oncology(原研)""]",['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""肺癌"", ""indication_en"": ""lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""小细胞肺癌"", ""indication_en"": ""small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""三阴性乳腺癌"", ""indication_en"": ""triple negative breast cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""非小细胞肺癌"", ""indication_en"": ""non-small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""乳腺癌"", ""indication_en"": ""breast cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CMS I-neb,CMS I-neb (colistimethate sodium powder for nebulization),CMS I-neb;CMS I-neb (多粘菌素E甲磺酸钠雾化剂);CMS I-neb (colistimethate sodium powder for nebulization);Promixin,not available,多粘菌素类抗生素,Zambon(原研),微创新,化药,其他,环肽,多粘菌素类抗生素,III期临床,2017/2/10,Active,呼吸领域,DR055713,欧洲,phase 3,III期临床,2017/2/10,phase 3,1,TRUE,FALSE,FALSE,[],['Zambon'],1,['Zambon(原研)'],['呼吸领域'],1,呼吸领域,,,3,3,Respiratory,,,"[{""indication"": ""支气管扩张"", ""indication_en"": ""bronchiectasis"", ""therapeutic_area"": ""呼吸领域"", ""therapeutic_area_en"": ""Respiratory"", ""highest_phase"": ""phase 3"", ""highest_phase_sort_val"": 3}]"
CN119285702A,CN119285702A,CN119285702A,EphA2,EphA2抑制剂,禾泰健宇(原研),创新药,化药,多肽,环肽;受体酪氨酸激酶;Potential First-in-Class,抑制剂,临床前,,Active,肿瘤领域,DR084791,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['禾泰健宇'],1,['禾泰健宇(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119303102A,CN119303102A,CN119303102A,EphA2;nectin-4,多肽偶联药物,博瑞医药(原研),创新药,化药,多肽;偶联药物,环肽;受体酪氨酸激酶;Potential First-in-Class,多肽偶联药物,临床前,,Active,肿瘤领域,DR084448,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['博瑞医药'],1,['博瑞医药(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119390770A,CN119390770A,CN119390770A,nectin-4,18F标记的PET药物;anti-nectin-4多肽偶联核素,云南白药(原研);北京大学第一医院(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物;Potential First-in-Class,18F标记的PET药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR086286,中国(内地),pre-clinical,临床前,,pre-clinical,2,TRUE,FALSE,FALSE,[],"['云南白药', '北京大学第一医院']",2,"['云南白药(原研)', '北京大学第一医院(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119390848A,CN119390848A,CN119390848A,PSD95,PSD95抑制剂,中晟全肽(原研),创新药,化药,多肽,环肽;差异化疾病,抑制剂,临床前,,Active,神经领域,DR084804,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['中晟全肽'],1,['中晟全肽(原研)'],['神经领域'],1,神经领域,,,-1,-1,Neurology,,,"[{""indication"": ""神经退行性疾病"", ""indication_en"": ""neurodegenerative diseases"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""缺血性卒中"", ""indication_en"": ""ischemic stroke"", ""therapeutic_area"": ""心脑血管领域"", ""therapeutic_area_en"": ""Cardiovascular & Cerebrovascular"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119552215A,CN119552215A,CN119552215A,SSTR2,多肽偶联药物,星洲生物(原研),创新药,化药,多肽;偶联药物,环肽,多肽偶联药物,临床前,,Active,肿瘤领域,DR083998,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['星洲生物'],1,['星洲生物(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119638783A,CN119638783A,CN119638783A,APHs,多肽类抗生素,上海交通大学(原研),创新药,化药,多肽,环肽;Potential First-in-Class,多肽类抗生素,临床前,,Active,感染领域,DR085370,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['上海交通大学'],1,['上海交通大学(原研)'],['感染领域'],1,感染领域,,,-1,-1,Infectious Diseases,,,"[{""indication"": ""细菌感染"", ""indication_en"": ""bacterial infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119701000A,CN119701000A,CN119701000A,S. aureus,多肽偶联药物,第四军医大学(原研),创新药,化药,多肽;偶联药物,环肽;payload [利福霉素类抗生素：dmDNA31];Potential First-in-Class,多肽偶联药物,临床前,,Active,感染领域,DR090138,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['第四军医大学'],1,['第四军医大学(原研)'],['感染领域'],1,感染领域,,,-1,-1,Infectious Diseases,,,"[{""indication"": ""葡萄球菌感染"", ""indication_en"": ""Staph infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119751581A,CN119751581A,CN119751581A,EphA2,177Lu标记的放射性药物;anti-EphA2多肽偶联核素,上海交通大学(原研);南京市第一医院(原研),创新药,生物,多肽;放射性药物;偶联药物,环肽;治疗用放射性药物;受体酪氨酸激酶;Potential First-in-Class,多肽偶联核素;177Lu标记的放射性药物,临床前,,Active,肿瘤领域,DR086866,中国(内地),pre-clinical,临床前,,pre-clinical,2,TRUE,FALSE,FALSE,[],"['上海交通大学', '南京市第一医院']",2,"['上海交通大学(原研)', '南京市第一医院(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119874812A,CN119874812A,CN119874812A,nectin-4,anti-nectin-4多肽偶联核素;68Ga标记的PET药物,范恩柯尔(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽,68Ga标记的PET药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR083609,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['范恩柯尔'],1,['范恩柯尔(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119874840A,CN119874840A,CN119874840A,EphA2,177Lu标记的放射性药物;anti-EphA2多肽偶联核素,晶核生物(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;治疗用放射性药物;受体酪氨酸激酶;Potential First-in-Class,177Lu标记的放射性药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR084744,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['晶核生物'],1,['晶核生物(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN119978071A,CN119978071A,CN119978071A,NPFFR1,NPFFR1激动剂,中晟全肽(原研),创新药,化药,多肽,环肽;G蛋白偶联受体;Potential First-in-Class,激动剂,临床前,,Active,麻醉镇痛领域,DR084841,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['中晟全肽'],1,['中晟全肽(原研)'],['麻醉镇痛领域'],1,麻醉镇痛领域,,,-1,-1,Anesthesia & Analgesia,,,"[{""indication"": ""疼痛"", ""indication_en"": ""pain"", ""therapeutic_area"": ""麻醉镇痛领域"", ""therapeutic_area_en"": ""Anesthesia & Analgesia"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120004985A,CN120004985A,CN120004985A,uPA,64Cu标记的放射性示踪剂;anti-uPA多肽偶联核素,中国医学科学院药物研究所(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物;Potential First-in-Class,多肽偶联核素;64Cu标记的放射性示踪剂,临床前,,Active,肿瘤领域,DR090531,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['中国医学科学院药物研究所'],1,['中国医学科学院药物研究所(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120058842A,CN120058842A,CN120058842A,uPAR,anti-uPAR多肽偶联核素;64Cu标记的放射性示踪剂,中国医学科学院药物研究所(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物,多肽偶联核素;64Cu标记的放射性示踪剂,临床前,,Active,肿瘤领域,DR090536,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['中国医学科学院药物研究所'],1,['中国医学科学院药物研究所(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120136966A,CN120136966A,CN120136966A,not available,脂肽类抗生素,上海交通大学(原研),创新药,化药,多肽,环肽,脂肽类抗生素,临床前,,Active,感染领域,DR085395,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['上海交通大学'],1,['上海交通大学(原研)'],['感染领域'],1,感染领域,,,-1,-1,Infectious Diseases,,,"[{""indication"": ""细菌感染"", ""indication_en"": ""bacterial infection"", ""therapeutic_area"": ""感染领域"", ""therapeutic_area_en"": ""Infectious Diseases"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120230182A,CN120230182A,CN120230182A,CAIX,anti-CAIX多肽偶联核素;18F标记的PET药物,北京大学肿瘤医院(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物;Potential First-in-Class,多肽偶联核素;18F标记的PET药物,临床前,,Active,肿瘤领域,DR084489,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['北京大学肿瘤医院'],1,['北京大学肿瘤医院(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120535589A,CN120535589A,CN120535589A,ACE2;FAP,68Ga标记的PET药物;anti-ACE2×FAP多肽偶联核素,北京大学肿瘤医院(原研),创新药,化药,放射性药物;多肽;偶联药物,环肽;肾素-血管紧张素-醛固酮系统;诊断用放射性药物;Potential First-in-Class,68Ga标记的PET药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR084887,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['北京大学肿瘤医院'],1,['北京大学肿瘤医院(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肿瘤"", ""indication_en"": ""tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120757611A,CN120757611A,CN120757611A,CAIX,anti-CAIX多肽偶联核素;68Ga标记的PET药物,南方医科大学南方医院(原研),创新药,化药,放射性药物;多肽;偶联药物,环肽;诊断用放射性药物,68Ga标记的PET药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR087164,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['南方医科大学南方医院'],1,['南方医科大学南方医院(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肾细胞癌"", ""indication_en"": ""renal cell carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""肾透明细胞癌"", ""indication_en"": ""clear cell renal cell carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120818068A,CN120818068A,CN120818068A,μ opioid receptor;Nav1.8,μ opioid receptor×Nav1.8-白蛋白融合蛋白;μ opioid receptor激动剂;Nav1.8抑制剂,新乡医学院(原研),创新药,生物,多肽;融合蛋白,环肽;G蛋白偶联受体;Potential First-in-Class,激动剂;抑制剂;白蛋白融合蛋白,临床前,,Active,麻醉镇痛领域,DR088047,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['新乡医学院'],1,['新乡医学院(原研)'],['麻醉镇痛领域'],1,麻醉镇痛领域,,,-1,-1,Anesthesia & Analgesia,,,"[{""indication"": ""疼痛"", ""indication_en"": ""pain"", ""therapeutic_area"": ""麻醉镇痛领域"", ""therapeutic_area_en"": ""Anesthesia & Analgesia"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120837693A,CN120837693A,CN120837693A,EphA2,anti-EphA2多肽偶联核素;68Ga标记的PET药物,复旦大学附属肿瘤医院(原研),创新药,化药,放射性药物;多肽;偶联药物,环肽;诊断用放射性药物;受体酪氨酸激酶;Potential First-in-Class,68Ga标记的PET药物;多肽偶联核素,临床前,,Active,诊断试剂领域,DR088530,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['复旦大学附属肿瘤医院'],1,['复旦大学附属肿瘤医院(原研)'],['诊断试剂领域'],1,诊断试剂领域,,,-1,-1,Diagnostic Reagents,,,"[{""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN120865351A,CN120865351A,CN120865351A,C5,C5抑制剂,普康唯新(原研),创新药,化药,多肽,环肽;差异化疾病,抑制剂,临床前,,Active,罕见疾病领域;血液领域,DR088535,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,TRUE,FALSE,[],['普康唯新'],1,['普康唯新(原研)'],['血液领域'],1,血液领域,,,-1,-1,Hematology,,,"[{""indication"": ""阵发性睡眠性血红蛋白尿症"", ""indication_en"": ""paroxysmal nocturnal hemoglobinuria"", ""therapeutic_area"": ""血液领域"", ""therapeutic_area_en"": ""Hematology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""非典型溶血尿毒综合征"", ""indication_en"": ""atypical hemolytic uremic syndrome"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN121005762A,CN121005762A,CN121005762A,NMDA receptor;PSD95,NMDA receptor×PSD95蛋白蛋白相互作用抑制剂,拜西欧斯(原研),创新药,化药,多肽,环肽;Potential First-in-Class,蛋白蛋白相互作用抑制剂,临床前,,Active,精神领域,DR090117,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['拜西欧斯'],1,['拜西欧斯(原研)'],['精神领域'],1,精神领域,,,-1,-1,Psychiatry,,,"[{""indication"": ""焦虑症"", ""indication_en"": ""anxiety disorder"", ""therapeutic_area"": ""精神领域"", ""therapeutic_area_en"": ""Psychiatry"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""神经退行性疾病"", ""indication_en"": ""neurodegenerative diseases"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""癫痫"", ""indication_en"": ""epilepsy"", ""therapeutic_area"": ""神经领域"", ""therapeutic_area_en"": ""Neurology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
CN121045338A,CN121045338A,CN121045338A,CAIX,anti-CAIX多肽偶联核素;177Lu标记的放射性药物,原子高科(原研),创新药,化药,放射性药物;多肽;偶联药物,环肽;治疗用放射性药物,177Lu标记的放射性药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR090461,中国(内地),pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['原子高科'],1,['原子高科(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肾透明细胞癌"", ""indication_en"": ""clear cell renal cell carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
