drug_name,drug_name_en,indication,indication_en,company_clean,therapeutic_area_norm,therapeutic_area_norm_en,highest_phase_indication_standard,highest_phase_standard_sort_val,drug_synonyms,targets,mechanism_of_action,global_highest_phase_all_indication_standard,global_highest_phase_all_indication_sort_val,global_highest_phase_all_indication_date,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,is_top20_mnc,is_cyclic_peptide,is_rare_disease,is_originator_indication_drug,is_top20mnc_indication_drug,research_institution,research_institution_count
放线菌素D,dactinomycin,横纹肌肉瘤,rhabdomyosarcoma,Recordati Rare Diseases,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,True,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,横纹肌肉瘤,rhabdomyosarcoma,Tiziana Life Sciences,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,横纹肌肉瘤,rhabdomyosarcoma,Rasna,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,睾丸癌,testicular cancer,Recordati Rare Diseases,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,True,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,睾丸癌,testicular cancer,Tiziana Life Sciences,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,睾丸癌,testicular cancer,Rasna,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,尤文氏肉瘤,Ewing's sarcoma,Recordati Rare Diseases,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,True,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,尤文氏肉瘤,Ewing's sarcoma,Tiziana Life Sciences,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,尤文氏肉瘤,Ewing's sarcoma,Rasna,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,妊娠滋养细胞肿瘤,gestational trophoblastic tumor,Recordati Rare Diseases,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,True,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,妊娠滋养细胞肿瘤,gestational trophoblastic tumor,Tiziana Life Sciences,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,妊娠滋养细胞肿瘤,gestational trophoblastic tumor,Rasna,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
卷曲霉素,capreomycin,肺结核,tuberculosis,Eli Lilly,感染领域,Infectious Diseases,approved,5,卷曲霉素;capreomycin;卷须霉素;结核霉素;Capastat,not available,多肽类抗生素,approved,5,1971-06-02,批准上市,,Active,创新药,化药,小分子,环肽;差异化疾病,多肽类抗生素,True,True,False,True,True,Eli Lilly(Top20 MNC)(原研),1
杆菌肽+多粘菌素B,bacitracin+polymyxin B,细菌感染,bacterial infection,,感染领域,Infectious Diseases,approved,5,杆菌肽+多粘菌素B;bacitracin+polymyxin B,not available,多粘菌素类抗生素;多肽类抗生素,approved,5,1974-04-16,批准上市,,Active,创新药,化药,复方;多肽,环肽,多粘菌素类抗生素;多肽类抗生素,False,True,False,False,False,--,0
去氨加压素,desmopressin,肾盂肾炎,Pyelonephritis,Ferring Pharmaceuticals,感染领域,Infectious Diseases,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,肾盂肾炎,Pyelonephritis,维健医药,感染领域,Infectious Diseases,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,A型血友病,Hemophilia A,Ferring Pharmaceuticals,血液领域,Hematology,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,2023-04-10,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,True,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,A型血友病,Hemophilia A,维健医药,血液领域,Hematology,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,2023-04-10,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,True,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,血管性血友病,von Willebrand disease,Ferring Pharmaceuticals,血液领域,Hematology,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,2023-04-10,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,True,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,血管性血友病,von Willebrand disease,维健医药,血液领域,Hematology,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,2023-04-10,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,True,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,血小板减少症,Thrombocytopenia,Ferring Pharmaceuticals,血液领域,Hematology,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,血小板减少症,Thrombocytopenia,维健医药,血液领域,Hematology,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,中枢性尿崩症,central diabetes insipidus,Ferring Pharmaceuticals,内分泌及代谢领域,Endocrinology & Metabolism,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,中枢性尿崩症,central diabetes insipidus,维健医药,内分泌及代谢领域,Endocrinology & Metabolism,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,遗尿症,enuresis,Ferring Pharmaceuticals,精神领域,Psychiatry,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,1995-06-01,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,遗尿症,enuresis,维健医药,精神领域,Psychiatry,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,1995-06-01,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,肝硬化,Cirrhosis,Ferring Pharmaceuticals,消化领域,Digestive System,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,肝硬化,Cirrhosis,维健医药,消化领域,Digestive System,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,膀胱炎,Cystitis,Ferring Pharmaceuticals,泌尿生殖领域,Genitourinary,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,膀胱炎,Cystitis,维健医药,泌尿生殖领域,Genitourinary,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,尿频,Frequent urination,Ferring Pharmaceuticals,泌尿生殖领域,Genitourinary,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,尿频,Frequent urination,维健医药,泌尿生殖领域,Genitourinary,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,出血,Bleeding,Ferring Pharmaceuticals,其他领域,Others,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,2023-04-10,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,出血,Bleeding,维健医药,其他领域,Others,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,2023-04-10,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,夜尿症,Nocturia,Ferring Pharmaceuticals,泌尿生殖领域,Genitourinary,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,夜尿症,Nocturia,维健医药,泌尿生殖领域,Genitourinary,approved,5,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,低钠血症,Hyponatremia,Ferring Pharmaceuticals,内分泌及代谢领域,Endocrinology & Metabolism,phase 3,3,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,III期临床,2023-08-31,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,低钠血症,Hyponatremia,维健医药,内分泌及代谢领域,Endocrinology & Metabolism,phase 3,3,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,III期临床,2023-08-31,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,维生素D缺乏,Vitamin D deficiency,Ferring Pharmaceuticals,内分泌及代谢领域,Endocrinology & Metabolism,phase 1,1,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,I期临床,2025-12-18,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,维生素D缺乏,Vitamin D deficiency,维健医药,内分泌及代谢领域,Endocrinology & Metabolism,phase 1,1,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,I期临床,2025-12-18,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,低血压,hypotension,Ferring Pharmaceuticals,心脑血管领域,Cardiovascular & Cerebrovascular,phase 1,1,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,I期临床,2025-10-28,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,True,False,Ferring Pharmaceuticals(原研);维健医药,2
去氨加压素,desmopressin,低血压,hypotension,维健医药,心脑血管领域,Cardiovascular & Cerebrovascular,phase 1,1,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,vasopressin,vasopressin类似物,approved,5,1978-02-21,I期临床,2025-10-28,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,False,True,False,False,False,Ferring Pharmaceuticals(原研);维健医药,2
粘菌素,colistin,志贺杆菌病,shigellosis,Par Pharmaceutical(Endo International),感染领域,Infectious Diseases,approved,5,粘菌素;colistin;抗敌素;COL,not available,多粘菌素类抗生素,approved,5,1982-01-01,批准上市,,Active,创新药,化药,其他,环肽;差异化疾病,多粘菌素类抗生素,False,True,False,True,False,Par Pharmaceutical(Endo International)(原研),1
紫霉素,viomycin,结核病,tuberculosis,Pfizer,感染领域,Infectious Diseases,approved,5,紫霉素;viomycin,not available,多肽类抗生素,approved,5,1982-01-01,批准上市,,Active,创新药,化药,小分子,环肽,多肽类抗生素,True,True,False,True,True,Pfizer(Top20 MNC)(原研),1
血管加压素,vasopressin,中枢性尿崩症,central diabetes insipidus,Par Sterile Products,内分泌及代谢领域,Endocrinology & Metabolism,approved,5,血管加压素;vasopressin;arginine vasopressin;精氨酸加压素;抗利尿激素;Vasostrict;Vasopressins;argipressin,vasopressin,vasopressin,approved,5,1982-01-01,批准上市,,Active,创新药,化药,多肽,环肽;差异化疾病,原形,False,True,False,True,False,Par Sterile Products(原研),1
血管加压素,vasopressin,血管扩张性休克,vasodilatory shock,Par Sterile Products,其他领域,Others,approved,5,血管加压素;vasopressin;arginine vasopressin;精氨酸加压素;抗利尿激素;Vasostrict;Vasopressins;argipressin,vasopressin,vasopressin,approved,5,1982-01-01,批准上市,,Active,创新药,化药,多肽,环肽;差异化疾病,原形,False,True,False,True,False,Par Sterile Products(原研),1
环孢素,cyclosporine,再生障碍性贫血,aplastic anemia,Sandoz,血液领域,Hematology,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,True,True,False,Sandoz(原研),1
环孢素,cyclosporine,类风湿性关节炎,rheumatoid arthritis,Sandoz,骨骼肌肉领域,Musculoskeletal,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,False,True,False,Sandoz(原研),1
环孢素,cyclosporine,银屑病,psoriasis,Sandoz,免疫领域,Immunology,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,False,True,False,Sandoz(原研),1
环孢素,cyclosporine,器官移植排斥,organ transplant rejection,Sandoz,免疫领域,Immunology,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,True,True,False,Sandoz(原研),1
环孢素,cyclosporine,移植物抗宿主病,graft versus host disease,Sandoz,免疫领域,Immunology,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,True,True,False,Sandoz(原研),1
环孢素,cyclosporine,特应性皮炎,atopic dermatitis,Sandoz,免疫领域,Immunology,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,False,True,False,Sandoz(原研),1
环孢素,cyclosporine,狼疮性肾炎,lupus nephritis,Sandoz,免疫领域,Immunology,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,False,True,False,Sandoz(原研),1
环孢素,cyclosporine,肾病综合征,nephrotic syndrome,Sandoz,泌尿生殖领域,Genitourinary,approved,5,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,approved,5,1983-11-14,批准上市,,Active,创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,False,True,False,True,False,Sandoz(原研),1
