drug_name,drug_name_en,drug_synonyms,indication,indication_en,targets,mechanism_of_action,research_institution,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,indication_original,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,disease_area,npuid,originator_country,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_norm,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_norm_en,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en
卷曲霉素,capreomycin,卷曲霉素;capreomycin;卷须霉素;结核霉素;Capastat,肺结核,tuberculosis,not available,多肽类抗生素,Eli Lilly(Top20 MNC)(原研),创新药,化药,小分子,环肽;差异化疾病,多肽类抗生素,肺结核(差异化疾病),批准上市,,Active,感染领域,DR023297,美国,approved,批准上市,1971/6/2,approved,1,TRUE,FALSE,TRUE,['Eli Lilly'],['Eli Lilly'],1,['Eli Lilly(Top20 MNC)(原研)'],感染领域,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,
杆菌肽+多粘菌素B,bacitracin+polymyxin B,杆菌肽+多粘菌素B;bacitracin+polymyxin B,细菌感染,bacterial infection,not available,多粘菌素类抗生素;多肽类抗生素,--,创新药,化药,复方;多肽,环肽,多粘菌素类抗生素;多肽类抗生素,细菌感染,批准上市,,Active,感染领域,DR066181,,approved,批准上市,1974/4/16,approved,0,TRUE,FALSE,FALSE,[],[],0,[],感染领域,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,肾盂肾炎,Pyelonephritis,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,肾盂肾炎(差异化疾病),批准上市,,Active,感染领域;泌尿生殖领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",感染领域,"['感染领域', '泌尿生殖领域']",2,感染领域,泌尿生殖领域,,5,5,Infectious Diseases,Infectious Diseases,Genitourinary,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,A型血友病,Hemophilia A,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,A型血友病(差异化疾病),批准上市,2023/4/10,Active,血液领域;罕见疾病领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,TRUE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",血液领域,['血液领域'],1,血液领域,,,5,5,Hematology,Hematology,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,血管性血友病,von Willebrand disease,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,血管性血友病(差异化疾病),批准上市,2023/4/10,Active,血液领域;罕见疾病领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,TRUE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",血液领域,['血液领域'],1,血液领域,,,5,5,Hematology,Hematology,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,血小板减少症,Thrombocytopenia,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,血小板减少症(差异化疾病),批准上市,,Active,血液领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",血液领域,['血液领域'],1,血液领域,,,5,5,Hematology,Hematology,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,中枢性尿崩症,central diabetes insipidus,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,中枢性尿崩症,批准上市,,Active,内分泌及代谢领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",内分泌及代谢领域,['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,5,Endocrinology & Metabolism,Endocrinology & Metabolism,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,遗尿症,enuresis,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,遗尿症(差异化疾病),批准上市,1995/6/1,Active,精神领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",精神领域,['精神领域'],1,精神领域,,,5,5,Psychiatry,Psychiatry,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,肝硬化,Cirrhosis,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,肝硬化(差异化疾病),批准上市,,Active,消化领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",消化领域,['消化领域'],1,消化领域,,,5,5,Digestive System,Digestive System,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,膀胱炎,Cystitis,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,膀胱炎(差异化疾病),批准上市,,Active,泌尿生殖领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,尿频,Frequent urination,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,尿频(差异化疾病),批准上市,,Active,泌尿生殖领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,出血,Bleeding,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,出血,批准上市,2023/4/10,Active,其他领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",其他领域,['其他领域'],1,其他领域,,,5,5,Others,Others,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,夜尿症,Nocturia,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,夜尿症(差异化疾病),批准上市,,Active,泌尿生殖领域,DR032515,欧洲,approved,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,低钠血症,Hyponatremia,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,低钠血症(差异化疾病),III期临床,2023/8/31,Active,内分泌及代谢领域,DR032515,欧洲,phase 3,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",内分泌及代谢领域,['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,3,Endocrinology & Metabolism,Endocrinology & Metabolism,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,维生素D缺乏,Vitamin D deficiency,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,维生素D缺乏(差异化疾病),I期临床,2025/12/18,Active,内分泌及代谢领域,DR032515,欧洲,phase 1,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",内分泌及代谢领域,['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,1,Endocrinology & Metabolism,Endocrinology & Metabolism,,
去氨加压素,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,低血压,hypotension,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,类似物,低血压(差异化疾病),I期临床,2025/10/28,Active,心脑血管领域,DR032515,欧洲,phase 1,批准上市,1978/2/21,approved,2,TRUE,FALSE,FALSE,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",心脑血管领域,['心脑血管领域'],1,心脑血管领域,,,5,1,Cardiovascular & Cerebrovascular,Cardiovascular & Cerebrovascular,,
粘菌素,colistin,粘菌素;colistin;抗敌素;COL,志贺杆菌病,shigellosis,not available,多粘菌素类抗生素,Par Pharmaceutical(Endo International)(原研),创新药,化药,其他,环肽;差异化疾病,多粘菌素类抗生素,志贺杆菌病(差异化疾病),批准上市,,Active,感染领域;消化领域,DR049240,美国,approved,批准上市,1982/1/1,approved,1,TRUE,FALSE,FALSE,[],['Par Pharmaceutical(Endo International)'],1,['Par Pharmaceutical(Endo International)(原研)'],感染领域,"['感染领域', '消化领域']",2,感染领域,消化领域,,5,5,Infectious Diseases,Infectious Diseases,Digestive System,
紫霉素,viomycin,紫霉素;viomycin,结核病,tuberculosis,not available,多肽类抗生素,Pfizer(Top20 MNC)(原研),创新药,化药,小分子,环肽,多肽类抗生素,结核病,批准上市,,Active,感染领域,DR051819,美国,approved,批准上市,1982/1/1,approved,1,TRUE,FALSE,TRUE,['Pfizer'],['Pfizer'],1,['Pfizer(Top20 MNC)(原研)'],感染领域,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,
血管加压素,vasopressin,血管加压素;vasopressin;arginine vasopressin;精氨酸加压素;抗利尿激素;Vasostrict;Vasopressins;argipressin,中枢性尿崩症,central diabetes insipidus,vasopressin,vasopressin,Par Sterile Products(原研),创新药,化药,多肽,环肽;差异化疾病,原形,中枢性尿崩症,批准上市,,Active,内分泌及代谢领域,DR001309,美国,approved,批准上市,1982/1/1,approved,1,TRUE,FALSE,FALSE,[],['Par Sterile Products'],1,['Par Sterile Products(原研)'],内分泌及代谢领域,['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,5,Endocrinology & Metabolism,Endocrinology & Metabolism,,
血管加压素,vasopressin,血管加压素;vasopressin;arginine vasopressin;精氨酸加压素;抗利尿激素;Vasostrict;Vasopressins;argipressin,血管扩张性休克,vasodilatory shock,vasopressin,vasopressin,Par Sterile Products(原研),创新药,化药,多肽,环肽;差异化疾病,原形,血管扩张性休克(差异化疾病),批准上市,,Active,其他领域,DR001309,美国,approved,批准上市,1982/1/1,approved,1,TRUE,FALSE,FALSE,[],['Par Sterile Products'],1,['Par Sterile Products(原研)'],其他领域,['其他领域'],1,其他领域,,,5,5,Others,Others,,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,再生障碍性贫血,aplastic anemia,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,再生障碍性贫血(差异化疾病),批准上市,,Active,血液领域;罕见疾病领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,TRUE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],血液领域,['血液领域'],1,血液领域,,,5,5,Hematology,Hematology,,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,类风湿性关节炎,rheumatoid arthritis,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,类风湿性关节炎(差异化疾病),批准上市,,Active,骨骼肌肉领域;免疫领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,FALSE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],骨骼肌肉领域,"['骨骼肌肉领域', '免疫领域']",2,骨骼肌肉领域,免疫领域,,5,5,Musculoskeletal,Musculoskeletal,Immunology,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,银屑病,psoriasis,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,银屑病,批准上市,,Active,免疫领域;皮肤领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,FALSE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],免疫领域,"['免疫领域', '皮肤领域']",2,免疫领域,皮肤领域,,5,5,Immunology,Immunology,Dermatology,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,器官移植排斥,organ transplant rejection,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,器官移植排斥,批准上市,,Active,罕见疾病领域;免疫领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,TRUE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],免疫领域,['免疫领域'],1,免疫领域,,,5,5,Immunology,Immunology,,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,移植物抗宿主病,graft versus host disease,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,移植物抗宿主病(差异化疾病),批准上市,,Active,罕见疾病领域;免疫领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,TRUE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],免疫领域,['免疫领域'],1,免疫领域,,,5,5,Immunology,Immunology,,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,特应性皮炎,atopic dermatitis,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,特应性皮炎(差异化疾病),批准上市,,Active,免疫领域;皮肤领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,FALSE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],免疫领域,"['免疫领域', '皮肤领域']",2,免疫领域,皮肤领域,,5,5,Immunology,Immunology,Dermatology,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,狼疮性肾炎,lupus nephritis,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,狼疮性肾炎,批准上市,,Active,免疫领域;泌尿生殖领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,FALSE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],免疫领域,"['免疫领域', '泌尿生殖领域']",2,免疫领域,泌尿生殖领域,,5,5,Immunology,Immunology,Genitourinary,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,肾病综合征,nephrotic syndrome,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,肾病综合征(差异化疾病),批准上市,,Active,泌尿生殖领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,FALSE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],泌尿生殖领域,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,
环孢素,cyclosporine,环孢素;cyclosporine;环孢菌素;ciclosporin;ciclosprin A;Sandimmun;cyclosporin;cyclosporin A;cyclosporine A;cyclosporione A;ciclosporine;NSC #290193;Neoral,干眼病,dry eye disease,CaN;NTCP;Cyp,NTCP抑制剂;CaN×Cyp分子胶,Sandoz(原研),创新药,化药,多肽,环肽;胆汁酸通路;First-in-Class;差异化疾病;非降解型分子胶,抑制剂;分子胶,干眼病,批准上市,,Active,眼科领域,DR032554,欧洲,approved,批准上市,1983/11/14,approved,1,TRUE,FALSE,FALSE,[],['Sandoz'],1,['Sandoz(原研)'],眼科领域,['眼科领域'],1,眼科领域,,,5,5,Ophthalmology,Ophthalmology,,
