drug_name,targets,mechanism_of_action,research_institution,indication_original,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,drug_category_3,drug_category_2,drug_tag,pharmacological_type,drug_category_1,drug_synonyms,carrier_type,disease_area,formulation_china,npuid,additional_data,originator_country,originator_rightsregion,china_highest_phase,usa_highest_phase,china_highest_phase_start_date,usa_highest_phase_start_date,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_norm,indication,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_norm_en,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indication_en,drug_name_en,drug_synonyms_en
放线菌素D,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),肾母细胞瘤,批准上市,,Active,其他,化药,环肽;First-in-Class,放线菌素抗生素,创新药,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,,罕见疾病领域;肿瘤领域,,DR001704,否,欧洲,未知,,,,,approved,批准上市,1964-12-10,approved,3,True,True,False,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,肾母细胞瘤,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,,nephroblastoma,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D
放线菌素D,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),横纹肌肉瘤,批准上市,,Active,其他,化药,环肽;First-in-Class,放线菌素抗生素,创新药,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,,罕见疾病领域;肿瘤领域,,DR001704,否,欧洲,未知,,,,,approved,批准上市,1964-12-10,approved,3,True,True,False,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,横纹肌肉瘤,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,,rhabdomyosarcoma,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D
放线菌素D,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),睾丸癌,批准上市,,Active,其他,化药,环肽;First-in-Class,放线菌素抗生素,创新药,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,,罕见疾病领域;肿瘤领域,,DR001704,否,欧洲,未知,,,,,approved,批准上市,1964-12-10,approved,3,True,True,False,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,睾丸癌,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,,testicular cancer,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D
放线菌素D,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),尤文氏肉瘤,批准上市,,Active,其他,化药,环肽;First-in-Class,放线菌素抗生素,创新药,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,,罕见疾病领域;肿瘤领域,,DR001704,否,欧洲,未知,,,,,approved,批准上市,1964-12-10,approved,3,True,True,False,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,尤文氏肉瘤,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,,Ewing's sarcoma,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D
放线菌素D,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),妊娠滋养细胞肿瘤,批准上市,,Active,其他,化药,环肽;First-in-Class,放线菌素抗生素,创新药,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,,罕见疾病领域;肿瘤领域,,DR001704,否,欧洲,未知,,,,,approved,批准上市,1964-12-10,approved,3,True,True,False,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,妊娠滋养细胞肿瘤,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,,gestational trophoblastic tumor,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D
卷曲霉素,not available,多肽类抗生素,Eli Lilly(Top20 MNC)(原研),肺结核(差异化疾病),批准上市,,Active,小分子,化药,环肽;差异化疾病,多肽类抗生素,创新药,卷曲霉素;capreomycin;卷须霉素;结核霉素;Capastat,,感染领域,,DR023297,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,,,,approved,批准上市,1971-06-02,approved,1,True,False,True,['Eli Lilly'],['Eli Lilly'],1,['Eli Lilly(Top20 MNC)(原研)'],感染领域,肺结核,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,,tuberculosis,capreomycin,卷曲霉素;capreomycin;卷须霉素;结核霉素;Capastat
杆菌肽+多粘菌素B,not available,多粘菌素类抗生素;多肽类抗生素,--,细菌感染,批准上市,,Active,复方;多肽,化药,环肽,多粘菌素类抗生素;多肽类抗生素,创新药,杆菌肽+多粘菌素B;bacitracin+polymyxin B,,感染领域,,DR066181,否,,,,,,,approved,批准上市,1974-04-16,approved,0,True,False,False,[],[],0,[],感染领域,细菌感染,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,,bacterial infection,bacitracin+polymyxin B,杆菌肽+多粘菌素B;bacitracin+polymyxin B
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,肾盂肾炎(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,感染领域;泌尿生殖领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,,,,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",感染领域,肾盂肾炎,"['感染领域', '泌尿生殖领域']",2,感染领域,泌尿生殖领域,,5,5,Infectious Diseases,Infectious Diseases,Genitourinary,,Pyelonephritis,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,A型血友病(差异化疾病),批准上市,2023-04-10,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,血液领域;罕见疾病领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,I期临床,2023-04-10,2015-07-22,approved,批准上市,1978-02-21,approved,2,True,True,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",血液领域,A型血友病,['血液领域'],1,血液领域,,,5,5,Hematology,Hematology,,,Hemophilia A,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,血管性血友病(差异化疾病),批准上市,2023-04-10,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,血液领域;罕见疾病领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,,2023-04-10,,approved,批准上市,1978-02-21,approved,2,True,True,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",血液领域,血管性血友病,['血液领域'],1,血液领域,,,5,5,Hematology,Hematology,,,von Willebrand disease,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,血小板减少症(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,血液领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,,,,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",血液领域,血小板减少症,['血液领域'],1,血液领域,,,5,5,Hematology,Hematology,,,Thrombocytopenia,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,中枢性尿崩症,批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,内分泌及代谢领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,I期临床,,1999-10-19,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",内分泌及代谢领域,中枢性尿崩症,['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,5,Endocrinology & Metabolism,Endocrinology & Metabolism,,,central diabetes insipidus,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,遗尿症(差异化疾病),批准上市,1995-06-01,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,精神领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,I期临床,1995-06-01,2015-12-21,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",精神领域,遗尿症,['精神领域'],1,精神领域,,,5,5,Psychiatry,Psychiatry,,,enuresis,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,肝硬化(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,消化领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,,,,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",消化领域,肝硬化,['消化领域'],1,消化领域,,,5,5,Digestive System,Digestive System,,,Cirrhosis,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,膀胱炎(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,泌尿生殖领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,,,,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,膀胱炎,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,,Cystitis,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,尿频(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,泌尿生殖领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,,,,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,尿频,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,,Frequent urination,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,出血,批准上市,2023-04-10,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,其他领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,II期临床,2023-04-10,2013-11-13,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",其他领域,出血,['其他领域'],1,其他领域,,,5,5,Others,Others,,,Bleeding,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,夜尿症(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,泌尿生殖领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,批准上市,III期临床,,2007-05-23,approved,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,夜尿症,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,,Nocturia,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,外伤,申请上市,2016-11-17,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,其他领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,申请上市,,2016-11-17,,pre-registration,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",其他领域,外伤,['其他领域'],1,其他领域,,,5,4,Others,Others,,,trauma,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,低钠血症(差异化疾病),III期临床,2023-08-31,Active,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,内分泌及代谢领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 3,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",内分泌及代谢领域,低钠血症,['内分泌及代谢领域'],1,内分泌及代谢领域,,,5,3,Endocrinology & Metabolism,Endocrinology & Metabolism,,,Hyponatremia,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,肾绞痛(差异化疾病),III期临床,2012-12-05,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,泌尿生殖领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 3,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,肾绞痛,['泌尿生殖领域'],1,泌尿生殖领域,,,5,3,Genitourinary,Genitourinary,,,renal colic,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,钩端螺旋体病(差异化疾病),II/III期临床,2008-01-14,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,感染领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 3,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",感染领域,钩端螺旋体病,['感染领域'],1,感染领域,,,5,3,Infectious Diseases,Infectious Diseases,,,leptospirosis,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,脑出血(差异化疾病),II期临床,2009-08-19,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,心脑血管领域;罕见疾病领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2009-08-19,phase 2,批准上市,1978-02-21,approved,2,True,True,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",心脑血管领域,脑出血,['心脑血管领域'],1,心脑血管领域,,,5,2,Cardiovascular & Cerebrovascular,Cardiovascular & Cerebrovascular,,,cerebral hemorrhage,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,膀胱过度活动症(差异化疾病),II期临床,2012-11-20,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,泌尿生殖领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2012-11-20,phase 2,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",泌尿生殖领域,膀胱过度活动症,['泌尿生殖领域'],1,泌尿生殖领域,,,5,2,Genitourinary,Genitourinary,,,overactive bladder,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
去氨加压素,vasopressin,vasopressin类似物,Ferring Pharmaceuticals(原研);维健医药,出血性卒中(差异化疾病),II期临床,2018-10-04,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,类似物,创新药,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna,,心脑血管领域,"批准上市:注射剂;片剂_x000D_
I期临床:舌下片",DR032515,否,欧洲,中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 2,批准上市,1978-02-21,approved,2,True,False,False,[],['Ferring Pharmaceuticals'],1,"['Ferring Pharmaceuticals(原研)', '维健医药']",心脑血管领域,出血性卒中,['心脑血管领域'],1,心脑血管领域,,,5,2,Cardiovascular & Cerebrovascular,Cardiovascular & Cerebrovascular,,,hemorrhagic stroke,desmopressin,去氨加压素;desmopressin;Ddavp;Concentraid;desmopresin;Nocdurna
